PC1	PC2	country	westernization
-0.07848779019158549	-0.1472158037345949	MDG	NW
-0.21146162675404914	-0.16746008179514485	MDG	NW
-0.23815384741408074	-0.04575999107667132	MDG	NW
-0.32240730313984195	-0.07137709081238426	MDG	NW
-0.31127165109209015	-0.007285595635522262	MDG	NW
-0.19113005699532482	-0.1493338714081094	MDG	NW
-0.324053272092637	0.3607906118715883	MDG	NW
-0.11067631396080073	-0.1609995880869811	MDG	NW
-0.17959211699245653	-0.29471330707350446	MDG	NW
-0.16686815021786436	-0.18943349039133606	MDG	NW
-0.10740867877109539	-0.21791826454698623	MDG	NW
-0.15802484045508797	-0.13613646022955322	MDG	NW
-0.19595127414085609	-0.200406168963758	MDG	NW
-0.09104820734671758	-0.16840459670434546	MDG	NW
-0.1737357120553251	-0.10784889873780885	MDG	NW
-0.29414309719930937	-0.10311799098751642	MDG	NW
-0.10733932320691071	-0.17106877234172374	MDG	NW
0.010288286041751877	-0.06409664370544989	MDG	NW
-0.11473420872214603	-0.1923919911390159	MDG	NW
-0.22818480421355056	-0.07820643226172339	MDG	NW
-0.212921613446604	0.12553926159067155	MDG	NW
-0.14471256868356902	-0.0155232206106443	MDG	NW
-0.09780991507542142	-0.20042432234741162	MDG	NW
-0.15076186021663077	-0.15265921704009877	MDG	NW
-0.16023204663063598	-0.03710695399163466	MDG	NW
-0.26187362248422175	-0.02928865087862458	MDG	NW
-0.09288873478937752	-0.15709035164399557	MDG	NW
-0.15483299878832354	-0.23254367558082975	MDG	NW
-0.034939324827256084	-0.1340085449437261	MDG	NW
-0.22160005346135486	-0.23740349625275475	MDG	NW
-0.2787693341387903	-0.06086526257528229	MDG	NW
-0.15295524005575442	-0.2287665409888458	MDG	NW
-0.25667239709901823	0.10462909635686396	MDG	NW
-0.23919800805899444	-0.20332497935786914	MDG	NW
-0.36041155245150475	0.0687981586784591	MDG	NW
-0.1430092060438639	-0.2235085341122511	MDG	NW
-0.14403786900540091	-0.2518108271676832	MDG	NW
-0.07514023823132213	-0.16178126230163614	MDG	NW
-0.14300282726246716	-0.21683747360851724	MDG	NW
-0.19701433421148765	-0.10514275133238743	MDG	NW
-0.19845642014792458	-0.15297575847541403	MDG	NW
-0.31221097680247856	0.03280044616876191	MDG	NW
-0.11616322492511627	-0.17957225963901075	MDG	NW
-0.3576049189305383	-0.005616225897665662	MDG	NW
-0.25613847014720265	-0.01604328402220328	MDG	NW
-0.1428962106883495	-0.24997144627159576	MDG	NW
-0.13722386136856074	-0.17638924130499467	MDG	NW
-0.06863780485785452	-0.21174522727263526	MDG	NW
-0.21210286607412035	-0.19744674373559645	MDG	NW
-0.1518058557004466	-0.19405427545133055	MDG	NW
-0.3232212724455946	0.1419688339944323	MDG	NW
-0.14264941394444483	-0.15487960228621409	MDG	NW
-0.28390963850835443	-0.12360654870170333	MDG	NW
0.155135234113454	-0.07434622333326614	MDG	NW
-0.005664270142863608	-0.14810329423202562	MDG	NW
-0.24553063436503753	-0.15071434413305923	MDG	NW
0.1675218197939038	-0.09592175816504897	MDG	NW
-0.0856109595173838	-0.13960886676146692	MDG	NW
-0.2555285979775531	-0.109007266782245	MDG	NW
-0.15671193356641278	-0.19259680748777677	MDG	NW
-0.13596604890691197	-0.16772377828490176	MDG	NW
-0.1434191994060036	-0.15064130518299115	MDG	NW
0.05105084969602582	-0.10869520139023653	MDG	NW
-0.004717139652650478	-0.15168645693418342	MDG	NW
-0.042612997631626376	-0.05719486379129651	MDG	NW
-0.1452460135804854	-0.028220500905341773	MDG	NW
-0.3224396015485482	0.029826551984169825	MDG	NW
-0.20392545116070923	-0.1837078180821805	MDG	NW
-0.2502066161476169	0.04969307615287046	MDG	NW
-0.35713715161424914	-0.059553648923799433	MDG	NW
-0.21481888603249802	-0.17632151888755243	MDG	NW
-0.19377569759130778	-0.1529386621468477	MDG	NW
-0.15902473283672044	-0.12727869184846274	MDG	NW
-0.16574896267019182	-0.26552736244680003	MDG	NW
-0.15760979921902485	-0.1817724744719606	MDG	NW
-0.2521345217350341	-0.15682532394100562	MDG	NW
-0.12264347521670772	-0.21618216728766027	MDG	NW
-0.08942821306678014	-0.22102301225514762	MDG	NW
-0.30541729444330934	0.05109198494494323	MDG	NW
-0.1198755140366007	-0.27253411296800545	MDG	NW
-0.22728736513917075	-0.16786867815384068	MDG	NW
-0.1744609726059956	-0.1628371930077513	MDG	NW
-0.22919907458503772	-0.09809727475266877	MDG	NW
-0.1994081623556042	-0.17662769420054972	MDG	NW
-0.13080817203981124	-0.2603282596026767	MDG	NW
-0.1191702094748202	0.0323801349229831	MDG	NW
-0.0902871462836575	-0.24249734191109334	MDG	NW
-0.15653928312419954	-0.19718004528593455	MDG	NW
-0.33392312526294277	0.14491798240335638	MDG	NW
-0.21034661423046813	-0.11416420225434185	MDG	NW
-0.28977429939929283	-0.024433907258261132	MDG	NW
-0.16227945470733546	-0.13570376758915967	MDG	NW
-0.01745041051472332	-0.013598459009439711	TZA	NW
-0.24587700716526364	0.042775420694905	TZA	NW
-0.33992232150302387	-0.04351330315484941	GHA	NW
-0.3082942920857682	-0.14113681253647503	TZA	NW
-0.2030728277904688	0.07558688262546912	GHA	NW
-0.3701632182726964	0.06449589962095258	GHA	NW
-0.33147870353451464	0.05089707824081405	GHA	NW
-0.18826750703105602	-0.11449670763773602	GHA	NW
-0.3326957858134884	0.06290990727319468	GHA	NW
0.001652933217507758	-0.11857677670035988	GHA	NW
-0.00639461587761284	-0.16378032423622396	GHA	NW
-0.29385617696767385	-0.10792394537714955	GHA	NW
0.2141770091344234	-0.04595097986038622	GHA	NW
-0.2156779173608574	-0.03261520073644135	TZA	NW
-0.12298485672018791	-0.2542275344523689	TZA	NW
-0.17313149922762566	-0.10684356950335011	GHA	NW
0.21574995372863606	-0.015862253793210816	TZA	NW
-0.11029481559114193	0.376628018863332	TZA	NW
-0.22347259687331258	0.3103468038195411	GHA	NW
