	P057	P054	P052	P050	P049	P048	P047	P046	P044	P043	P042	P040	P039	P037	P036	P035	P034	P029	P028	P027	P022	P019	P016	P015	P014	P013	P011	P009	P007	P006	P004	P003	P002	MSM_L2_F7	MSM_L2_F5	MSM_L2_F4	MSM_L2_F3	MSM_L2_F2	MSM_L2_E9	MSM_L2_E8	MSM_L2_E7	MSM_L2_E6	MSM_L2_E5	MSM_L2_E4	MSM_L2_E3	MSM_L2_E2	MSM_L2_E1	MSM_L2_E11	MSM_L2_E10	MSM_L2_D9	MSM_L2_D8	MSM_L2_D7	MSM_L2_D6	MSM_L2_D4	MSM_L2_D3	MSM_L2_D1	MSM_L2_D12	MSM_L2_D11	MSM_L2_D10	MSM_L2_C9	MSM_L2_C8	MSM_L2_C7	MSM_L2_C6	MSM_L2_C2	MSM_L2_C1	MSM_L2_C12	MSM_L2_B9	MSM_L2_B8	MSM_L2_B6	MSM_L2_B5	MSM_L2_B12	MSM_L2_B11	MSM_L2_A8	MSM_L2_A5	MSM_L2_A1	MSM_L2_A12	MSM_L2_A10	MSM_L1_D3	MSM_L1_D1	MSM_L1_D12	MSM_L1_D10	MSM_L1_C7	MSM_L1_C3	MSM_L1_C2	MSM_L1_B5	MSM_L1_B2	MSM_L1_B11	MSM_L1_B10	MSM_L1_A9	MSM_L1_A7	MSM_L1_A5	MSM_L1_A10	KHK8	KHK59	KHK58	KHK57	KHK56	KHK55	KHK54	KHK53	KHK52	KHK51	KHK4	KHK48	KHK46	KHK44	KHK43	KHK3	KHK39	KHK37	KHK36	KHK35	KHK34	KHK33	KHK2	KHK29	KHK28	KHK25	KHK24	KHK1	KHK19	KHK16	KHK11
Prevotella_copri_clade_B	1.03317	0.84791	2.27227	4.25651	2.94273	2.01774	1.39416	3.1224	4.6689	3.92079	2.66968	0.0	1.01388	0.0	0.02348	1.98083	0.95953	1.17446	0.07882	0.3951	0.0	1.51597	0.52225	10.94434	0.23255	0.0	1.25842	1.04587	5.5701	1.4587	0.83002	0.04333	0.01333	0.0	0.0	0.0	0.0	0.0	0.70128	1.64136	1.1453	0.73974	0.18394	2.21912	3.69787	4.97814	3.26383	0.0	0.0	6.75926	4.74799	3.42429	3.09978	0.0	0.96773	9e-05	2.11097	1.34488	3.35202	0.07691	0.15873	9.66999	0.0	0.0	3.79547	0.03929	0.96186	0.27696	0.00797	1.03068	2.45865	0.0	11.95887	4.13594	0.95814	4.51945	0.01778	0.0	0.0	0.24597	0.0	0.0	0.00826	0.0	0.0	0.0	0.0	5.37592	0.0	0.0	1.78219	0.0	3.69648	1.10076	0.56505	2.99192	0.16643	0.0	0.26285	0.2695	0.19785	0.34877	0.0	5.03436	6.69319	2.16774	1.294	5.6505	7.70166	44.52647	0.00593	1.29347	0.33658	1.27078	4.80267	0.4087	0.0	0.33093	7.75525	45.04032	12.68202	0.42442	1.44295
Prevotella_copri_clade_C	1.81595	0.0	8.15834	19.70811	3.09029	1.09276	3.03797	4.53623	2.55069	5.14331	0.25307	0.0	15.26766	0.07695	0.47267	0.0	2.90784	0.25332	3.83029	0.0	0.0	2.76654	0.0	0.0	0.0	0.0	0.0	0.79449	14.40911	13.2827	13.73858	0.08092	0.05424	0.05022	0.0	0.0	0.0	0.0	1.32692	11.73229	3.4895	0.0	0.27899	7.64356	2.8447	19.31272	3.48638	29.50306	0.0	27.79851	2.55115	4.70967	0.27469	0.0	15.53907	0.10213	1.17566	2.84806	4.68954	0.0152	1.87239	5.25429	0.0	0.0	8.51631	0.6031	0.34462	6.05945	0.01807	3.20829	11.26819	1.55252	8.24213	2.61223	0.0	1.72517	0.51296	0.0	0.0	0.11135	0.0	0.0	0.00564	0.0	0.0	0.0	0.0	6.98497	55.41121	0.0	14.92339	0.0	0.31546	8.46015	1.96105	13.62462	0.11227	0.0	0.17447	0.0	0.10349	2.86941	0.0	0.0	0.0	25.69679	5.32644	0.0	10.28512	0.0	0.01588	5.24058	26.82009	2.0408	6.2203	0.77578	6.47109	0.54646	11.28395	0.0	0.0	0.21183	6.58166
Prevotella_copri_clade_D	12.64184	4.34364	1.98943	5.82875	0.08919	0.98783	0.11171	3.48818	0.06729	0.27243	7.4883	0.0	2.19997	0.06046	4.55751	6.24323	1.54111	11.11458	0.0	17.46938	0.0	0.43605	0.0	38.02177	3.2895	0.0	5.59842	0.74311	3.21389	3.07091	1.10569	0.2453	0.46661	0.00355	0.0	0.0	0.0	0.0	8.74753	4.87283	4.26406	4.22125	0.43691	1.73723	0.0	5.57972	0.09474	0.0	0.0	5.75104	0.06464	0.20295	7.36727	0.0	2.05719	0.08349	0.9717	0.09648	3.28532	0.06635	0.20979	2.46475	0.0	0.0	3.12524	4.86172	0.03708	0.93628	0.01123	2.98778	5.35321	5.65597	10.52265	2.64944	0.0	1.34105	0.06025	0.0	0.0	0.17076	0.0	0.0	0.21504	0.0	0.0	0.0	0.0	1.28354	0.0	0.0	14.27995	0.0	2.39473	0.5235	1.77704	0.85411	0.75162	0.0	0.5533	0.98365	0.56066	0.28252	4.23295	6.59084	7.04673	3.4225	2.14264	0.0	1.88148	0.0	0.30092	3.29006	2.38185	13.94176	1.23929	1.9273	0.0	0.0	12.5338	0.0	0.0	0.08833	11.8262
Prevotella_copri_clade_E	7.37423	8.72545	0.0	13.69786	1.77798	1.06587	0.7849	9.4645	0.37497	2.3885	1.26996	10.97363	11.09635	0.01034	0.0076	0.0	14.19798	6.81443	0.0	0.0	0.0	0.79889	8.23607	0.0	0.49904	0.0	0.0	1.2113	2.93582	1.36806	3.79038	0.07461	0.45168	0.00605	0.0	0.0	0.0	0.0	4.80214	4.28702	0.52338	9.87567	0.06284	0.0	1.59337	13.03188	1.39196	0.0	0.0	14.39452	0.28985	1.71788	0.91834	8.97797	11.08948	0.0228	0.75335	0.59094	7.31363	0.02774	0.35553	2.09575	0.0	0.0	0.97154	0.00444	0.0	1.69113	5e-05	1.88937	1.20521	0.0	0.0	10.94463	0.0	9.8607	0.02158	0.0	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65668	0.0	0.0	0.0	0.0	14.2116	0.29996	2.8746	4.02768	0.30085	0.0	1.09685	3.14329	4.69107	3.019	0.0	0.0	15.47259	0.8321	0.15026	0.0	5.97345	0.0	0.02053	3.01182	4.75502	3.55965	1.66709	0.01569	0.0	0.0	2.46431	0.0	0.0	1.88543	0.1055
Prevotella_copri_clade_F	0.0	0.0	0.0	0.0	0.0554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15896	0.0	0.0	0.0	0.0	0.0	0.06461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18818	0.0	0.0	0.0	0.0	0.97526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella_copri_clade_G	0.47164	0.47856	0.0	0.0	0.54286	2.88928	1.64417	0.55234	0.89577	1.51224	0.0	0.0	1.26644	0.0	0.94403	0.0	0.28559	0.0	0.0	0.0	0.0	0.72619	1.93671	0.0	0.0	0.0	2.74966	0.0	5.34339	0.0	4.60866	0.07369	0.0	0.0	0.0	0.0	0.0	0.0	0.39715	2.96918	0.98233	0.43734	0.0	0.0	0.0	0.0	0.69287	0.0	0.0	0.0	0.93033	1.48751	0.0	0.0	1.25673	0.0	3.33282	1.71917	0.5373	0.0	0.11235	5.46123	0.0	0.0	2.0237	1.21967	0.34549	2.99832	0.00068	0.05611	8.65371	0.22845	0.0	0.22506	0.0	1.14915	0.16205	0.0	0.0	0.00764	0.0	0.0	0.00279	0.0	0.0	0.0	0.0	3.3905	0.0	0.0	0.01783	0.0	1.34341	2.67754	0.0	0.0	0.16227	0.0	0.13549	0.0	0.0	0.00865	0.0	0.0	0.0	4.10989	0.0	0.0	14.45043	0.0	0.20819	0.59154	6.11814	0.0	3.22551	0.45841	0.0	0.0	0.04956	0.0	11.23304	0.0	0.00864
Prevotella_copri_clade_H	2.28532	0.52071	1.2272	0.0	0.00601	1.42133	0.25873	1.07968	0.00224	0.39333	0.0	0.0	0.64359	0.0	0.77594	0.0	1.68015	5.18349	0.0	0.0	0.0	0.10169	1.38705	0.0	0.18664	0.0	0.0	0.0	2.68716	6.50782	0.0	0.00721	0.0067	0.00121	0.0	0.0	0.0	5.79246	1.59926	1.8305	0.44144	0.55781	0.19032	1.20879	0.0	0.0	0.00642	0.0	0.0	0.89666	0.00192	0.3425	0.0	0.0	0.66555	0.0	1.60512	0.26231	1.22459	0.04573	0.19644	0.0	0.0	0.0	0.01568	1.09958	0.0	3.6844	0.0	1.05472	0.05137	0.0	0.0	1.13333	0.0	1.64393	0.04891	0.0	0.0	0.04038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55337	6.33642	0.38102	5.53145	0.08481	0.0	0.0	1.39167	0.59128	0.38065	0.0	0.0	0.0	1.25232	0.01316	0.0	1.78994	0.0	0.02936	0.15229	0.16544	0.07363	0.0	0.0	0.0	0.0	2.59059	0.0	0.0	0.00147	3.39585
Prevotella_corporis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00499	0.00337	0.0	0.0	0.0	0.0	0.0	0.0	0.20383	0.00486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04059	0.0	0.00331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0081	0.0	0.0	0.0	0.0	0.00456	0.0	0.0	0.40059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044	0.0	0.00665	0.0	0.0	0.0
Prevotella_disiens	0.0	0.0	0.0	0.0	0.0	0.00076	0.0	0.0	0.03141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02029	0.0	0.0	0.06975	0.0	0.0029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0557	0.0	0.01249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06867	0.0	0.0	0.00073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.0	0.00072	0.0	0.0	0.00045	0.0	0.0	0.0	0.0	0.04862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03193	0.0	0.0	0.01958	0.00434	0.0	0.0	0.00627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prevotella_ihumii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102
